ID,Tweet,Location
1582205047622230016-,tedesco di merda pk esiste voglio morire,None
1582187136882655232-,"E dimmi le cose che voglio sentire, così da capire se posso morire per te",None
1582157251158061056-,"dal piangere all’immaginare a quelle due morire sulle montagne e ridere come una stupida, voglio molto bene al mio jimin e al mio jungkook",None
1582148550418649089-,"non voglio più aprire nessun social perché sto malissimo e spero di morire, notte",None
1582139760780316672-,non le urla da amici x edoardo voglio morire,None
1582139755902345219-,eccoci qua io voglio morire,None
1582139550289121280-,"voglio morire per davvero, peccato io non abbia il coraggio di porre fine a tutto.",None
1582139092959387649-, Voglio morire oddio mi mancate adesso uffa,None
1582138191057801216-,"immagino se dovesse vincere tonino come se la crederà ,voglio morire ",None
1582136826655277056-,porco dio storia per giovedì voglio morire ammazzata,None
1582134741813166081-,voglio morire ,None
1582133558441029633-, Pensa che io ho entrambi al fantacalcio voglio morire🙃,None
1582131730437541889-, voglio morire,None
1582131255763574786-,domani prima interrogazione dell'anno voglio morire,None
1582129715468414976-,00:01 voglio morire,None
1582129008379977728-,Io cmq voglio uno che mi ami tanto che morirebbe per me che proprio sacrifica la sua vita per la mia colpa delle serie che guardo e mi alzano l’asticella se uno non è disposto a morire rimango single a vita ,None
1582124042735476736-,io vi giuro voglio vedere gabriele morire malissimo alevassallo ti amo lo sai ma stavolta deve andare così,None
1582122588209172480-,voglio morire ,None
1582121949357973504-, ho la verifica di matematica voglio morire,None
1582121205007810560-,jisung che parla mezz'ora on ogni skz talker si intervista da solo fa i tour dei camerini cammina dappertutto mi fa morire gli voglio bene,None
1582116569588453376-,non riesco manco ad avere una crisi per i mille sbalzi d’umore basta cazzo basta porcodio voglio morire be lo giuro,None
1582115647252664321-, VOGLIO MORIRE ANA,None
1582115044896407552-,palese unico giorno in cui non voglio farmi interrogare la bastardona lo fa madonna voglio morire sono così senza forze che non sono riuscita manco a ripassare già ho difficoltà con storia poi con il tutto che sto una merda andrà malissimo sto piangendo non è giusto,None
1582112432272859137-,"Voglio morire, già con questo preambolo 
",None
1582109773683912704-,voglio morire ,None
1582107889782894593-,vi prego lui mi fa morire in queste circostanze io gli voglio anche bene ,None
1582107121474469888-,voglio morire ,None
1582105245978882053-,"   voglio morire!!!
ora mi tocca dormire in piedi come i cavalli.
(E NON TI AZZARDARE A FARE BATTUTE SUI CAVALLI)",None
1582102522893721600-, io voglio solo morire,None
1582099741483339777-,pensando alla convinzione che avevo qualche anno fa... che avrei speso il bonus cultura per un concerto dei bts in Italia HAhaHAHAhaHA voglio morire,None
1582098936629956613-, Voglio morire...,None
1582098183504920577-,Ser Criston Cole il primo che voglio vedere morire molto male,None
1582098170188009473-,"io non ce la faccio, necessito di andare in tour con lewis oddio voglio morire",None
1582098064730255360-,Voglio morire   ,None
1582097994748375042-,mi brucia la gola da morire voglio piangere,None
1582097755413319680-, senti io voglio morire non li prenderò mai e se non li prendo non ho niente a cui aggrapparmi lo capisci io mi ammazzo,None
