Query,Added,Duplicates,Max Results,Date,Comments
"""spero che possiate perdonarmi"" -is:retweet",1,0,200,Nov-19-2022,
"""spero che possiate perdonarmi"" -is:retweet",0,1,200,Nov-19-2022,
,,,,,
"""scusatemi ma non ce la faccio"" -is:retweet",6,0,200,Nov-19-2022,
,,,,,
"""non ce la faccio"" -is:retweet",186,0,200,Nov-19-2022,
,,,,,
"""non vale la pena vivere"" -is:retweet",6,0,200,Nov-19-2022,
,,,,,
"""suicidio"" -is:retweet",189,0,200,Nov-19-2022,Most of these were tweets in Spanish/Portuguese
"""suicidio"" -is:retweet lang:it",197,0,200,Nov-19-2022,
,,,,,
"""sono pronto a morire"" -is:retweet lang:it",20,0,200,Nov-19-2022,
,,,,,
"""mi odio"" -is:retweet lang:it",171,0,200,Nov-19-2022,
,,,,,
"""io mi odio"" -is:retweet lang:it",58,13,200,Nov-19-2022,
,,,,,
"""odio la mia vita"" -is:retweet lang:it",88,1,200,Nov-19-2022,
,,,,,
"""odio la vita"" -is:retweet lang:it",32,0,200,Nov-19-2022,
,,,,,
"""vorrei essere morto"" -is:retweet lang:it",5,0,200,Nov-19-2022,
,,,,,
"""non voglio vivere"" -is:retweet lang:it",158,0,200,Nov-19-2022,
,,,,,
"""la vita non vale niente"" -is:retweet lang:it",2,0,200,Nov-19-2022,
,,,,,
"""vorrei non esistere"" -is:retweet lang:it",19,0,200,Nov-19-2022,
,,,,,
"""stanco di essere solo"" -is:retweet lang:it",3,0,200,Nov-19-2022,
,,,,,
"""stanca di essere sola"" -is:retweet lang:it",11,0,200,Nov-19-2022,
,,,,,
"""la vita non ha senso"" -is:retweet lang:it",31,0,200,Nov-19-2022,
,,,,,
"""la mia vita non ha senso"" -is:retweet lang:it",30,0,200,Nov-19-2022,
,,,,,
uccidermi -is:retweet lang:it,184,0,200,Nov-19-2022,
,,,,,
suicidarmi -is:retweet lang:it,193,0,200,Nov-19-2022,
,,,,,
"""dormire per sempre"" -is:retweet lang:it",47,0,200,Nov-19-2022,
,,,,,
"""voglio dormire per sempre"" -is:retweet lang:it",0,6,200,Nov-19-2022,
,,,,,
"""vorrei dormire per sempre"" -is:retweet lang:it",0,3,200,Nov-19-2022,
,,,,,
"""dormire e non svegliarmi mai"" -is:retweet lang:it",15,0,200,Nov-19-2022,
,,,,,
"""sono pronta a morire"" -is:retweet lang:it",19,0,200,Nov-19-2022,
,,,,,
"""essere morto"" -is:retweet lang:it",193,4,200,Nov-19-2022,
,,,,,
"""essere morta"" -is:retweet lang:it",190,0,200,Nov-19-2022,
,,,,,
"""voglio essere morta"" -is:retweet lang:it",0,2,200,Nov-19-2022,
,,,,,
"""vorrei essere morta"" -is:retweet lang:it",1,5,200,Nov-19-2022,
"""mi sento solo"" -is:retweet lang:it",187,1,200,Nov-19-2022
suicidarmi -is:retweet lang:it,0,193,200,Nov-19-2022
uccidermi -is:retweet lang:it,0,184,200,Nov-19-2022
"""spero che possiate perdonarmi"" -is:retweet lang:it",0,1,200,Nov-19-2022
